"date";"confirmed";"deaths";"recovered";"t"
2020-03-16;177;4;13;1
2020-03-17;238;5;13;2
2020-03-18;251;5;13;3
2020-03-19;355;5;1;4
2020-03-20;425;5;1;5
2020-03-21;536;5;1;6
2020-03-22;634;7;1;7
2020-03-23;749;8;1;8
2020-03-24;901;10;1;9
2020-03-25;1051;14;7;10
2020-03-26;1221;16;7;11
2020-03-27;1389;16;7;12
2020-03-28;1638;18;7;13
2020-03-29;1862;22;7;14
2020-03-30;2055;31;7;15
2020-03-31;2311;33;7;16
2020-04-01;2554;43;47;17
2020-04-02;2946;57;56;18
2020-04-03;3383;71;56;19
2020-04-04;3627;79;116;20
2020-04-05;4102;94;134;21
2020-04-06;4413;107;162;22
2020-04-07;4848;129;191;23
2020-04-08;5205;159;222;24
2020-04-09;5575;174;284;25
2020-04-10;5955;181;318;26
2020-04-11;6356;208;375;27
2020-04-12;6674;232;439;28
2020-04-13;6934;245;487;29
2020-04-14;7202;263;618;30
2020-04-15;7582;286;668;31
2020-04-16;7918;314;774;32
2020-04-17;8379;332;866;33
2020-04-18;8742;347;981;34
2020-04-19;9287;360;1040;35
2020-04-20;9593;380;1133;36
2020-04-21;9856;401;1297;37
2020-04-22;10169;426;1513;38
2020-04-23;10511;454;1740;39
2020-04-24;10892;494;1944;40
2020-04-25;11273;524;2126;41
2020-04-26;11617;535;2265;42
2020-04-27;11902;562;2466;43
2020-04-28;12218;596;2655;44
2020-04-29;12640;624;3025;45
2020-04-30;12877;644;3236;46
2020-05-01;13105;651;3491;47
2020-05-02;13375;664;3762;48
2020-05-03;13693;678;3945;49
2020-05-04;14006;698;4095;50
2020-05-05;14431;716;4280;51
2020-05-06;14740;733;4655;52
2020-05-07;15047;755;4862;53
2020-05-08;15366;776;5184;54
2020-05-09;15651;785;5437;55
2020-05-10;15996;800;5698;56
